Date,Open,High,Low,Close,Adj Close,Volume,Return
5/26/20,166.899994,166.919998,163.141006,163.774002,163.774002,40448680,0.397995
5/27/20,164.171997,165.542007,157,164.046005,164.046005,57747650,0.272003
5/28/20,162.701996,164.949997,160.337997,161.162003,161.162003,36378870,-2.884002
5/29/20,161.75,167,160.841995,167,167,59062445,5.837997
6/1/20,171.600006,179.800003,170.820007,179.619995,179.619995,75426485,12.619995
6/2/20,178.940002,181.731995,174.199997,176.311996,176.311996,67827980,-3.307999
6/3/20,177.623993,179.587997,176.020004,176.591995,176.591995,39747345,0.279999
6/4/20,177.975998,179.149994,171.688004,172.876007,172.876007,44438565,-3.715988
6/5/20,175.567993,177.304001,173.240005,177.132004,177.132004,39059585,4.255997
6/8/20,183.800003,190,181.832001,189.983994,189.983994,70873635,12.85199
6/9/20,188.001999,190.887985,184.786194,188.134003,188.134003,56940770,-1.849991
6/10/20,198.376007,205.496002,196.5,205.009995,205.009995,92817065,16.875992
6/11/20,198.039993,203.791977,194.399994,194.567993,194.567993,79582410,-10.442002
6/12/20,196,197.595993,182.520004,187.056,187.056,83816870,-7.511993
6/15/20,183.557999,199.768005,181.699997,198.179993,198.179993,78485890,11.123993
6/16/20,202.369995,202.576004,192.477997,196.425995,196.425995,70255390,-1.753998
6/17/20,197.542007,201,196.514206,198.358002,198.358002,49454000,1.932007
6/18/20,200.600006,203.839996,198.894165,200.792007,200.792007,48759680,2.434005
6/19/20,202.556,203.193985,198.268005,200.179993,200.179993,43398745,-0.612014
6/22/20,199.990005,201.776001,198.003998,198.863998,198.863998,31811750,-1.315995
6/23/20,199.776001,202.399994,198.802017,200.356003,200.356003,31826355,1.492005
6/24/20,198.822006,200.176926,190.628281,192.169998,192.169998,54797965,-8.186005
6/25/20,190.854004,197.195999,187.429993,197.195999,197.195999,46272745,5.026001
6/26/20,198.955994,199,190.973999,191.947998,191.947998,44274540,-5.248001
6/29/20,193.802002,202,189.704025,201.869995,201.869995,45132020,9.921997
6/30/20,201.300003,217.537994,200.746002,215.962006,215.962006,84592505,14.092011
7/1/20,216.600006,227.065994,216.100006,223.925995,223.925995,66634480,7.963989
7/2/20,244.296005,245.600006,237.119995,241.731995,241.731995,86250575,17.806
7/6/20,255.337997,275.558014,253.208801,274.31601,274.31601,102849320,32.584015
7/7/20,281.002014,285.899994,267.34201,277.971985,277.971985,107448305,3.655975
7/8/20,281,283.451996,262.268005,273.175995,273.175995,81556560,-4.79599
7/9/20,279.39801,281.712006,270.256012,278.855988,278.855988,58587990,5.679993
7/10/20,279.200012,309.78299,275.202026,308.929993,308.929993,116687765,30.074005
7/13/20,331.799988,358.997986,294.222015,299.411987,299.411987,194926810,-9.518006
7/14/20,311.200012,318,286.200012,303.359985,303.359985,117090700,3.947998
7/15/20,308.600006,310,291.399994,309.201996,309.201996,81839145,5.842011
7/16/20,295.432007,306.34201,293.200012,300.127991,300.127991,71503925,-9.074005
7/17/20,302.690002,307.502014,298,300.167999,300.167999,46649860,0.040008
7/20/20,303.802002,330,297.600006,328.600006,328.600006,85606835,28.432007
7/21/20,327.985992,335,311.600006,313.671997,313.671997,80786400,-14.928009
7/22/20,319.799988,325.283997,312.399994,318.466003,318.466003,70805400,4.794006
7/23/20,335.790009,337.799988,296.153992,302.614014,302.614014,121642520,-15.851989
7/24/20,283.201996,293,273.308014,283.399994,283.399994,96983080,-19.21402
7/27/20,287,309.588013,282.600067,307.920013,307.920013,80243345,24.520019
7/28/20,300.799988,312.940002,294.884003,295.298004,295.298004,79043500,-12.622009
7/29/20,300.200012,306.962006,297.399994,299.821991,299.821991,47134465,4.523987
7/30/20,297.600006,302.64801,294.200012,297.497986,297.497986,38105195,-2.324005
7/31/20,303,303.410004,284.196014,286.152008,286.152008,61234800,-11.345978
8/3/20,289.839996,301.962006,288.876892,297,297,44046730,10.847992
8/4/20,299.002014,305.481995,292.399994,297.399994,297.399994,42074950,0.399994
8/5/20,298.597992,299.967682,293.661987,297.003998,297.003998,24890075,-0.395996
8/6/20,298.165985,303.462006,295.451996,297.915985,297.915985,29961565,0.911987
8/7/20,299.907288,299.950012,283.002014,290.541992,290.541992,44482100,-7.373993
8/10/20,289.600006,291.5,277.167999,283.713989,283.713989,37611320,-6.828003
8/11/20,279.200012,284,273,274.877991,274.877991,43129170,-8.835998
8/12/20,294,317,287,310.951996,310.951996,109494170,36.074005
8/13/20,322.200012,330.235992,313.451996,324.200012,324.200012,102126540,13.248016
8/14/20,332.997986,333.76001,325.328003,330.141998,330.141998,62888070,5.941986
8/17/20,335.399994,369.171997,334.56601,367.127991,367.127991,101211615,36.985993
8/18/20,379.798004,384.779999,369.022003,377.417999,377.417999,82372455,10.290008
8/19/20,373,382.200012,368.242004,375.705994,375.705994,61026655,-1.712005
8/20/20,372.135986,404.39801,371.411987,400.365997,400.365997,103058980,24.660003
8/21/20,408.951996,419.097992,405.01001,409.996002,409.996002,107447795,9.630005
8/24/20,425.255005,425.799988,385.503998,402.839996,402.839996,100318105,-7.156006
8/25/20,394.977997,405.589996,393.600006,404.667999,404.667999,53294465,1.828003
8/26/20,412,433.200012,410.72583,430.634003,430.634003,71196910,25.966004
8/27/20,436.09201,459.119995,428.5,447.75,447.75,118465215,17.115997
8/28/20,459.023987,463.697998,437.303986,442.679993,442.679993,100405880,-5.070007
8/31/20,444.609985,500.140015,440.109985,498.320007,498.320007,118374406,55.640014
9/1/20,502.140015,502.48999,470.51001,475.049988,475.049988,90119419,-23.270019
9/2/20,478.98999,479.040009,405.120605,447.369995,447.369995,96176128,-27.679993
9/3/20,407.230011,431.799988,402,407,407,87596086,-40.369995
9/4/20,402.809998,428,372.020111,418.320007,418.320007,110321885,11.320007
9/8/20,356,368.73999,329.880005,330.209991,330.209991,115465691,-88.110016
9/9/20,356.600006,369,341.51001,366.279999,366.279999,79465769,36.070008
9/10/20,386.209991,398.98999,360.559998,371.339996,371.339996,84930608,5.059997
9/11/20,381.940002,382.5,360.5,372.720001,372.720001,60717459,1.380005
9/14/20,380.950012,420,373.299988,419.619995,419.619995,83020608,46.899994
9/15/20,436.559998,461.940002,430.700012,449.76001,449.76001,97298228,30.140015
9/16/20,439.869995,457.790009,435.309998,441.76001,441.76001,72546760,-8
9/17/20,415.600006,437.790009,408.000092,423.429993,423.429993,76779163,-18.330017
9/18/20,447.940002,451,428.799988,442.149994,442.149994,86406819,18.720001
9/21/20,453.130005,455.679993,407.070007,449.390015,449.390015,109476800,7.240021
9/22/20,429.600006,437.76001,417.600098,424.230011,424.230011,79580795,-25.160004
9/23/20,405.160004,412.149994,375.880096,380.359985,380.359985,95074176,-43.870026
9/24/20,363.799988,399.5,351.299988,387.790009,387.790009,96561061,7.430024
9/25/20,393.470001,408.7323,391.299988,407.339996,407.339996,67208459,19.549987
9/28/20,424.619995,428.079987,415.549988,421.200012,421.200012,49719561,13.860016
9/29/20,416,428.5,411.600006,419.070007,419.070007,50341404,-2.130005
9/30/20,421.320007,433.929993,420.470001,429.01001,429.01001,48145566,9.940003
10/1/20,440.76001,448.880005,434.420013,448.160004,448.160004,50741454,19.149994
10/2/20,421.390015,439.130005,415,415.089996,415.089996,71430025,-33.070008
10/5/20,423.350006,433.640015,419.329987,425.679993,425.679993,44722786,10.589997
10/6/20,423.790009,428.779907,406.049988,413.980011,413.980011,49146259,-11.699982
10/7/20,419.869995,429.899994,413.845001,425.299988,425.299988,43127709,11.319977
10/8/20,438.440002,439,425.299988,425.920013,425.920013,40421116,0.620025
10/9/20,430.130005,434.589905,426.460114,434,434,28925656,8.079987
10/12/20,442,448.73999,438.579987,442.299988,442.299988,38791133,8.299988
10/13/20,443.350006,448.890015,436.600006,446.649994,446.649994,34463665,4.350006
10/14/20,449.779999,465.899994,447.350006,461.299988,461.299988,48045394,14.649994
10/15/20,450.309998,456.570007,442.5,448.880005,448.880005,35672354,-12.419983
10/16/20,454.440002,455.94989,438.850006,439.670013,439.670013,32775879,-9.209992
10/19/20,446.23999,447,428.869995,430.829987,430.829987,36287843,-8.840026
10/20/20,431.75,431.75,419.05011,421.940002,421.940002,31656289,-8.889985
10/21/20,422.700012,432.950012,421.25,422.640015,422.640015,32370461,0.700013
10/22/20,441.920013,445.230011,424.51001,425.790009,425.790009,39993191,3.149994
10/23/20,421.839996,422.885895,407.380096,420.630005,420.630005,33716980,-5.160004
10/26/20,411.630005,425.76001,410,420.279999,420.279999,28239161,-0.350006
10/27/20,423.76001,430.5,420.100006,424.679993,424.679993,22686506,4.399994
10/28/20,416.480011,418.600006,406,406.019989,406.019989,25451409,-18.660004
10/29/20,409.959991,418.059998,406.459991,410.829987,410.829987,22655308,4.809998
10/30/20,406.895386,407.591492,379.109985,388.040009,388.040009,42587639,-22.789978
11/2/20,394,406.979889,392.299988,400.51001,400.51001,29021118,12.470001
11/3/20,409.730011,427.769989,406.690002,423.899994,423.899994,34351715,23.389984
11/4/20,430.619995,435.399994,417.100006,420.980011,420.980011,32143057,-2.919983
11/5/20,428.299988,440,424.000092,438.089996,438.089996,28414523,17.109985
11/6/20,436.100006,436.570007,424.279999,429.950012,429.950012,21706014,-8.139984
11/9/20,439.5,452.5,421,421.26001,421.26001,34833025,-8.690002
11/10/20,420.089996,420.089996,396.03009,410.359985,410.359985,30284224,-10.900025
11/11/20,416.450012,418.695007,410.579987,417.130005,417.130005,17357722,6.77002
11/12/20,415.049988,423,409.519989,411.76001,411.76001,19940500,-5.369995
11/13/20,410.850006,412.531891,401.660004,408.5,408.5,19830351,-3.26001
11/16/20,408.929993,412.450012,404.086792,408.089996,408.089996,26838635,-0.410004
11/17/20,460.170013,462,433.01001,441.609985,441.609985,61188281,33.519989
11/18/20,448.350006,496,443.500092,486.640015,486.640015,78044024,45.03003
11/19/20,492,508.611206,487.570007,499.269989,499.269989,62475346,12.629974
11/20/20,497.98999,502.5,489.059998,489.609985,489.609985,32911922,-9.660004
11/23/20,503.5,526,501.790009,521.849976,521.849976,50260304,32.239991
11/24/20,540.400024,559.98999,526.200012,555.380005,555.380005,53648494,33.530029
11/25/20,550.059998,574,545.369995,574,574,48930162,18.619995
11/27/20,581.159973,598.780029,578.450012,585.76001,585.76001,37561078,11.76001
11/30/20,602.210022,607.799988,554.51001,567.599976,567.599976,63003052,-18.160034
12/1/20,597.590027,597.849976,572.049988,584.76001,584.76001,40382832,17.160034
12/2/20,556.440002,571.539978,541.210022,568.820007,568.820007,47775653,-15.940003
12/3/20,590.02002,598.969971,582.429993,593.380005,593.380005,42552003,24.559998
12/4/20,591.01001,599.039978,585.5,599.039978,599.039978,29401314,5.659973
12/7/20,604.919678,648.785583,603.049988,641.76001,641.76001,56309709,42.720032
12/8/20,625.505005,651.280029,618.5,649.880005,649.880005,64265029,8.119995
12/9/20,653.690002,654.320007,588,604.47998,604.47998,71291190,-45.400025
12/10/20,574.369995,627.75,566.340027,627.070007,627.070007,67083153,22.590027
12/11/20,615.01001,624,596.799988,609.98999,609.98999,46474974,-17.080017
12/14/20,619,642.749878,610.200073,639.830017,639.830017,52040649,29.840027
12/15/20,643.280029,646.900024,623.799988,633.25,633.25,45223559,-6.580017
12/16/20,628.22998,632.5,605,622.77002,622.77002,42095813,-10.47998
12/17/20,628.190002,658.820007,619.5,655.900024,655.900024,56270144,33.130004
12/18/20,668.900024,695,628.539978,695,695,222126194,39.099976
12/21/20,666.23999,668.5,646.070007,649.859985,649.859985,58045264,-45.140015
12/22/20,648,649.880005,614.22998,640.340027,640.340027,51861644,-9.519958
12/23/20,632.200012,651.499878,622.570129,645.97998,645.97998,33172972,5.639953
12/24/20,642.98999,666.090027,641,661.77002,661.77002,22865568,15.79004
12/28/20,674.51001,681.400024,660.799988,663.690002,663.690002,32278561,1.919982
12/29/20,661,669.900024,655,665.98999,665.98999,22910811,2.299988
12/30/20,672,696.599976,668.360291,694.780029,694.780029,42846021,28.790039
12/31/20,699.98999,718.719971,691.119995,705.669983,705.669983,49649928,10.889954
1/4/21,719.460022,744.489929,717.189514,729.77002,729.77002,48638189,24.100037
1/5/21,723.659973,740.840027,719.200012,735.109985,735.109985,32245165,5.339965
1/6/21,758.48999,774,749.099976,755.97998,755.97998,44699965,20.869995
1/7/21,777.630005,816.98999,775.200012,816.039978,816.039978,51498948,60.059998
1/8/21,856,884.48999,838.390015,880.02002,880.02002,75055528,63.980042
1/11/21,849.400024,854.429993,803.622192,811.190002,811.190002,59554146,-68.830018
1/12/21,831,868,827.340027,849.440002,849.440002,46270720,38.25
1/13/21,852.76001,860.469971,832,854.409973,854.409973,33312496,4.969971
1/14/21,843.390015,863,838.75,845,845,31266327,-9.409973
1/15/21,852,859.900024,819.099976,826.159973,826.159973,38777596,-18.840027
1/19/21,837.799988,850,833,844.549988,844.549988,25366980,18.390015
1/20/21,858.73999,859.5,837.280029,850.450012,850.450012,25665883,5.900024
1/21/21,855,855.71991,841.420105,844.98999,844.98999,20598133,-5.460022
1/22/21,834.309998,848,828.619995,846.640015,846.640015,20066497,1.650025
1/25/21,855,900.400024,838.820129,880.799988,880.799988,41173397,34.159973
1/26/21,891.380005,895.900024,871.599976,883.090027,883.090027,23131603,2.290039
1/27/21,870.349976,891.5,858.659973,864.159973,864.159973,27333955,-18.930054
1/28/21,820,848,801,835.429993,835.429993,26378048,-28.72998
1/29/21,830.000305,842.409973,780.099976,793.530029,793.530029,34990754,-41.899964
2/1/21,814.289978,842,795.56012,839.809998,839.809998,25391385,46.279969
2/2/21,844.679993,880.5,842.200623,872.789978,872.789978,24346213,32.97998
2/3/21,877.02002,878.080017,853.064575,854.690002,854.690002,18343510,-18.099976
2/4/21,855,856.5,833.419983,849.98999,849.98999,15812661,-4.700012
2/5/21,845,864.77002,838.969971,852.22998,852.22998,18566637,2.23999
