Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,199.000000,200.244095,188.507507,189.190002,183.805313,9530651
2020-06-29,191.380005,193.899994,188.660004,193.470001,187.963501,3735957
2020-06-30,193.839996,198.410004,193.619995,197.619995,191.995392,3102760
2020-07-01,198.880005,199.740005,195.520004,197.570007,191.946823,2620147
2020-07-02,202.500000,203.000000,197.130005,197.399994,191.781662,2699373
2020-07-06,201.335007,207.789597,201.130005,207.360001,201.458191,3567664
2020-07-07,205.500000,205.710007,199.190002,199.360001,193.685883,2853484
2020-07-08,199.539993,203.250000,199.020004,202.250000,196.493607,2789713
2020-07-09,202.110001,202.500000,195.000000,196.830002,191.227905,3160116
2020-07-10,196.869995,206.319901,196.830002,205.559998,199.709412,4414807
2020-07-13,209.000000,212.979996,207.000000,208.880005,202.934906,4449599
2020-07-14,211.429993,214.300003,207.009995,214.009995,207.918900,5201950
2020-07-15,224.369995,225.239899,214.690002,216.899994,210.726654,12516724
2020-07-16,213.509995,220.455002,213.500000,214.669998,208.560120,5769606
2020-07-17,214.899994,215.169998,211.250000,211.410004,205.392914,3618027
2020-07-20,210.729996,213.164993,210.250000,211.710007,205.684372,2268726
2020-07-21,212.250000,213.809998,210.389999,212.020004,205.985550,3394178
2020-07-22,210.500000,211.000000,205.350006,206.000000,200.136902,4978425
2020-07-23,205.100006,206.022095,202.050003,203.020004,197.241714,4088636
2020-07-24,203.000000,204.929993,201.320007,201.470001,195.735825,3191549
2020-07-27,200.100006,204.179993,199.589996,203.020004,197.241714,2601182
2020-07-28,201.910004,203.600006,201.089996,201.619995,195.881561,2139771
2020-07-29,201.699997,203.889999,199.619995,202.580002,196.814240,2634961
2020-07-30,199.500000,199.990005,196.300003,199.529999,193.851028,3057922
2020-07-31,199.839996,199.839996,196.509995,197.960007,192.325729,2401074
2020-08-03,198.490005,199.880005,196.529999,199.389999,193.715012,2295652
2020-08-04,199.350006,201.720001,198.475006,201.639999,195.900970,1944676
2020-08-05,203.169998,204.807495,203.009995,204.520004,198.699020,2323194
2020-08-06,205.000000,206.289993,203.830002,204.250000,198.436707,1882367
2020-08-07,203.479996,208.800003,202.449997,208.270004,202.342285,3074961
2020-08-10,209.589996,210.639999,208.039993,209.380005,203.420685,2432770
2020-08-11,212.720001,216.949997,210.529999,211.059998,205.052872,4042742
2020-08-12,214.699997,215.949997,209.270004,212.130005,206.092438,2439593
2020-08-13,210.410004,212.199997,207.690002,208.389999,202.458878,2219859
2020-08-14,207.460007,209.479996,206.610001,207.970001,202.050812,2287572
2020-08-17,207.000000,207.850006,202.529999,203.070007,197.290268,3922588
2020-08-18,203.449997,203.580002,201.100006,201.309998,195.580368,3067854
2020-08-19,202.399994,206.100006,201.770004,203.020004,197.241714,2458524
