date,status,value
2021-04-12T13:30Z,503,385
2021-04-12T13:30Z,499,986
2021-04-12T13:30Z,302,858
2021-04-12T13:45Z,200,12176
2021-04-12T13:45Z,304,6121
2021-04-12T13:45Z,404,1396
2021-04-12T13:45Z,500,573
2021-04-12T13:45Z,499,263
2021-04-12T13:45Z,302,599
2021-04-12T14:00Z,200,10866
2021-04-12T14:00Z,304,5988
2021-04-12T14:00Z,404,1498
2021-04-12T14:00Z,499,237
2021-04-12T14:00Z,302,605
2021-04-12T14:15Z,200,12473
2021-04-12T14:15Z,304,6055
2021-04-12T14:15Z,404,669
2021-04-12T14:15Z,302,232
2021-04-12T14:30Z,200,11455
2021-04-12T14:30Z,304,6547
2021-04-12T14:30Z,404,2129
2021-04-12T14:30Z,302,118
2021-04-12T14:45Z,200,10555
2021-04-12T14:45Z,304,5387
2021-04-12T14:45Z,404,1630
2021-04-12T14:45Z,500,51
2021-04-12T14:45Z,302,858
2021-04-12T15:00Z,200,12495
2021-04-12T15:00Z,304,6616
2021-04-12T15:00Z,404,1186
2021-04-12T15:00Z,302,434
2021-04-12T15:00Z,499,156
2021-04-12T15:15Z,200,11322
2021-04-12T15:15Z,304,6050
2021-04-12T15:15Z,404,1923
2021-04-12T15:30Z,200,11049
2021-04-12T15:30Z,304,5353
2021-04-12T15:30Z,404,2381
2021-04-12T15:45Z,200,13065
2021-04-12T15:45Z,304,5223
2021-04-12T15:45Z,404,854
2021-04-12T15:45Z,499,402
2021-04-12T16:00Z,200,10895
2021-04-12T16:00Z,304,4326
2021-04-12T16:00Z,404,2175
2021-04-12T16:15Z,200,11255
2021-04-12T16:15Z,304,4856
2021-04-12T16:15Z,404,2091
2021-04-12T16:15Z,302,154
2021-04-12T16:30Z,200,10462
2021-04-12T16:30Z,304,5774
2021-04-12T16:30Z,404,3356
2021-04-12T16:45Z,200,9169
2021-04-12T16:45Z,304,5448
2021-04-12T16:45Z,404,4706
2021-04-12T17:00Z,200,11364
2021-04-12T17:00Z,304,4713
2021-04-12T17:00Z,404,2448
2021-04-12T17:15Z,200,11765
2021-04-12T17:15Z,304,5327
2021-04-12T17:15Z,404,871
2021-04-12T17:15Z,500,28
2021-04-12T17:30Z,200,11775
2021-04-12T17:30Z,304,4747
2021-04-12T17:30Z,404,2376
2021-04-12T17:30Z,302,870
2021-04-12T17:30Z,499,764
2021-04-12T17:45Z,200,10949
2021-04-12T17:45Z,304,5020
